City_ID,City,Lat,Lng,Current Weather,Weather Description,Feels Like,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
588,Maceio,-9.6658,-35.7353,Clouds,broken clouds,89.4,85.44,85.44,58,75,12.66,2023-02-08,BR
589,Chany,55.3121,76.7647,Clouds,broken clouds,-26.73,-17.45,-17.45,100,68,3.04,2023-02-08,RU
590,Tamandare,-8.7597,-35.1047,Clouds,overcast clouds,86.65,82.74,82.74,65,99,8.57,2023-02-08,BR
591,San Quintin,30.4833,-115.95,Clouds,few clouds,58.64,61.21,61.21,34,17,0.43,2023-02-08,MX
592,Kununurra,-15.7667,128.7333,Clouds,broken clouds,96.1,84.18,84.18,84,75,1.14,2023-02-08,AU
593,Waingapu,-9.6567,120.2641,Clouds,scattered clouds,79.5,77.92,77.92,87,35,7.76,2023-02-08,ID
594,Brigantine,39.4101,-74.3646,Clear,clear sky,52.09,53.94,56.14,65,0,12.66,2023-02-08,US
595,Tateyama,34.9833,139.8667,Clouds,broken clouds,37.06,44.1,44.1,70,66,15.05,2023-02-08,JP
596,Jardim,-21.4803,-56.1381,Clouds,overcast clouds,86.95,81.61,81.61,76,100,4.21,2023-02-08,BR
597,Charters Towers,-20.1,146.2667,Clouds,overcast clouds,75.36,74.19,74.19,86,99,9.04,2023-02-08,AU
598,Kenai,60.5544,-151.2583,Snow,light snow,14.04,19.15,19.45,80,100,3.44,2023-02-08,US
599,Nhulunbuy,-12.2333,136.7667,Clouds,overcast clouds,79.41,79.41,79.41,94,100,1.14,2023-02-08,AU
600,Mackay,-21.15,149.2,Clouds,overcast clouds,80.15,78.67,78.67,83,100,25.59,2023-02-08,AU
601,Den Helder,52.9599,4.7593,Clouds,few clouds,34.09,39.13,41.02,62,20,7,2023-02-08,NL
602,Karnal,29.6833,76.9833,Clouds,few clouds,53.15,56.1,56.1,37,15,6.04,2023-02-08,IN
603,Nuoro,40.3211,9.3297,Clouds,scattered clouds,28.81,35.91,35.91,71,41,9.48,2023-02-08,IT
604,Mandalgovi,45.7625,106.2708,Clouds,overcast clouds,11.77,11.77,11.77,92,100,2.82,2023-02-08,MN
605,Udaipura,23.0833,78.5,Clear,clear sky,64.33,66.69,66.69,27,6,1.57,2023-02-08,IN
606,Ballina,-28.8667,153.5667,Clouds,scattered clouds,69.17,68.02,68.02,99,49,7.67,2023-02-08,AU
607,Ganzhou,28.8184,115.4327,Clouds,overcast clouds,46.22,48.02,48.02,93,97,4.5,2023-02-08,CN
609,Ipixuna,-1.7625,-48.8043,Clouds,broken clouds,88.79,81.43,81.43,86,73,3.2,2023-02-08,BR
610,Kuala Terengganu,5.3302,103.1408,Clouds,few clouds,78.75,78.75,78.75,89,20,3.44,2023-02-08,MY
611,Palmer,42.1584,-72.3287,Clouds,broken clouds,35.37,42.48,46.06,61,75,13.8,2023-02-08,US
612,Springdale,36.1867,-94.1288,Clouds,overcast clouds,36.57,43.43,46.13,96,100,13.8,2023-02-08,US
613,The Valley,18.217,-63.0578,Clouds,few clouds,86.14,82.45,82.54,65,20,16.11,2023-02-08,AI
615,Santiago De Cuba,20.0247,-75.8219,Clouds,scattered clouds,87.49,84.31,84.31,58,40,11.5,2023-02-08,CU
616,Mecca,21.4267,39.8261,Clouds,overcast clouds,67.6,68.99,68.99,43,93,10.98,2023-02-08,SA
617,Longyearbyen,78.2186,15.6401,Snow,light snow,14.4,24.64,24.64,80,40,10.36,2023-02-08,SJ
618,Dulce Grande,23,-102.1667,Clouds,broken clouds,62.53,65.44,65.44,18,70,6.35,2023-02-08,MX
619,Bilibino,68.0546,166.4372,Clouds,overcast clouds,-42.81,-42.81,-42.81,100,100,0.85,2023-02-08,RU
620,Wilmington,34.2257,-77.9447,Clear,clear sky,68.25,68.85,69.71,60,0,11.5,2023-02-08,US
622,Xai-Xai,-25.0519,33.6442,Clouds,overcast clouds,79.27,79.27,79.27,85,92,11.54,2023-02-08,MZ
623,Tianpeng,30.9866,103.9393,Clouds,overcast clouds,52.97,53.64,53.64,91,99,7.58,2023-02-08,CN
624,Mabaruma,8.2,-59.7833,Clouds,broken clouds,84.67,80.2,80.2,80,55,5.93,2023-02-08,GY
625,Bar Harbor,44.3876,-68.2039,Clouds,broken clouds,30.9,37.4,40.01,79,63,8.99,2023-02-08,US
627,Tando Adam,25.7637,68.661,Clouds,scattered clouds,69.93,71.74,71.74,28,35,10.45,2023-02-08,PK
628,Plettenberg Bay,-34.0527,23.3716,Clouds,broken clouds,67.93,67.78,67.78,78,77,17.63,2023-02-08,ZA
629,Shelburne,44.0787,-80.2041,Clouds,scattered clouds,25.38,33.8,37.85,86,36,11.25,2023-02-08,CA
630,Umba,66.6871,34.3429,Clouds,broken clouds,16.95,28.49,28.49,86,83,15.35,2023-02-08,RU
